id,Title,Content,"Post Type",Tags,"Portfolio Categories","Portfolio Tags"
155,"PayPal ‘Welcome to the PayPal Economy’",,portfolio,,"Freelance producer",Commercials
157,"CC&W ‘Sheet Cake Campaign’",,portfolio,,"Freelance producer",Commercials
158,"Lotus Biscoff Cookie ‘Family’",,portfolio,,"Freelance producer",Commercials
159,"Lotus Biscoff Spread ‘Office’",,portfolio,,"Freelance producer",Commercials
195,"Lotus Biscoff “Sandwich Cookie - Park”",,portfolio,,"Freelance producer",
196,"Orange “The Wedding”",,portfolio,,"Freelance producer",Commercials
197,"Orange ‘The Restaurant’",,portfolio,,"Freelance producer",
198,"Heineken ‘Credentials’",,portfolio,,"Freelance producer",Commercials
199,"Instax ‘Hi, I’m PAL’",,portfolio,,"Freelance producer",Commercials
200,"META - Whatsapp ‘Introducing ChatLock’",,portfolio,,"Freelance producer",Commercials
201,"Allianz ‘Walk of Mia’",,portfolio,,"Freelance producer",Commercials
202,"Allianz ‘Walk of Life’",,portfolio,,"Freelance producer",Commercials
203,"Harry Boy ‘Bling Bling Rappers’",,portfolio,,"Freelance producer",Commercials
204,"Harry Boy ‘The Very Best a Man Can Get’",,portfolio,,"Freelance producer",Commercials
205,"Harry Boy ‘Cool Dawg’",,portfolio,,"Freelance producer",
206,"Standard Chartered “Economic Inclusion”",,portfolio,,"Freelance producer",
295,"Corinne Bailey-Ray “Put Your Records On”",,portfolio,,"Orange Films","Music videos"
296,"Alice Martineau “The Right Time”",,portfolio,,"Orange Films","Music videos"
297,"Attica Blues “Now You Know",,portfolio,,"Orange Films","Music videos"
298,"Blue “You Make Me Wanna”",,portfolio,,"Orange Films","Music videos"
299,"Chicane “Love On The Run”",,portfolio,,"Orange Films","Music videos"
300,"BB Mak “Staring Into Space”",,portfolio,,"Orange Films","Music videos"
301,"Lighthouse Family “Dry”",,portfolio,,"Orange Films","Music videos"
302,"Aurora “The Day It Rained Forever”",,portfolio,,"Orange Films","Music videos"
303,"Pluto “Crazy World”",,portfolio,,"Orange Films","Music videos"
304,"Electric Soft Parade “Silent to the Dark”",,portfolio,,"Orange Films","Music videos"
305,"Cornershop “Lessons Learned from Rocky I to Rocky III”",,portfolio,,"Orange Films","Music videos"
306,"Beverley Knight “Shoulda Woulda Coulda”",,portfolio,,"Orange Films","Music videos"
307,"Faithless “Muhammad Ali”",,portfolio,,"Orange Films","Music videos"
308,"Peppercorn “Hyperventilating”",,portfolio,,"Orange Films","Music videos"
309,"Peppercorn “Nice To You”",,portfolio,,"Orange Films","Music videos"
355,"Lotus Biscoff ME/Asia “You Gotta Love”",,portfolio,,"Freelance producer",Stills
