Portfolio Categories,Title,video_id,int_production_company,director,agency,sa_service_co,year
Freelance producer,Lotus Biscoff “Sandwich Cookie - Park”,https://vimeo.com/1109115434?fl=pl&fe=sh,"Caviar, Belgium",Ben Mege,Dept. Brand and Advertising,Superkind,20240301
Freelance producer,Orange “The Wedding”,https://vimeo.com/manage/videos/1109115527,"Producteur Provocateur, Belgium",AJ Colomb,Publicis / Prodigious,Superkind,20240101
Freelance producer,Orange “The Restaurant”,https://vimeo.com/1109115489?fl=pl&fe=sh,"Producteur Provocateur, Belgium",AJ Colomb	,Publicis / Prodigious,Superkind,20240101
Freelance producer,Heineken “Credentials”,https://vimeo.com/1109115568?fl=pl&fe=sh,"Tempomedia, Germany",Alex Feill,Le Pub,Giant Films,20241101
Freelance producer,"Instax “Hi, I’m PAL”",https://vimeo.com/1109115619?fl=pl&fe=sh,"Florence, LA",Pham and Barth,"McCann, New York	",Giant Films,20230601
Freelance producer,META - Whatsapp “Introducing ChatLock”,https://vimeo.com/1109115659?fl=pl&fe=sh,"Stink, LA ",Hernan Corera,META,Stillking Films,20230401
Freelance producer,Allianz “Walk of Mia”	,https://vimeo.com/1109115722?fl=pl&fe=sh,"The Beauty Aside, Germany",Robin Polak / Sophia Wagner,BBDO,Juice Film,20230301
Freelance producer,Allianz “Walk of Life”	,https://vimeo.com/1109115692?fl=pl&fe=sh,"The Beauty Aside, Germany",Robin Polak / Sophia Wagner,BBDO,Juice Film,20230301
Freelance producer,Harry Boy “Bling Bling Rappers”,https://vimeo.com/1109115834?fl=pl&fe=sh,"Giants and Toys, Sweden",TRAKTOR,Akestam Holst,Moonlighting,20220401
Freelance producer,Harry Boy “The Very Best a Man Can Get”,https://vimeo.com/1109115795?fl=pl&fe=sh,"Giants and Toys, Sweden",TRAKTOR,Akestam Holst,Moonlighting,20220401
Freelance producer,Harry Boy “Cool Dawg”,https://vimeo.com/1109115753?fl=pl&fe=sh,"Giants and Toys, Sweden",TRAKTOR,Akestam Holst,Moonlighting,20220401
Freelance producer,Standard Chartered “Economic Inclusion”	,https://vimeo.com/1109115872?fl=pl&fe=sh,"The Sweet Shop, Shanghai",JH Walker,"TBWA, Singapore",Picture Tree,20211201
